"","months","neighbourhood_cleansed","price","number_of_reviews","review_count_change","city"
"131",2020-09-01,"Ku-Ring-Gai",122.661290322581,13.9677419354839,38,"sydney"
"132",2020-09-01,"Lane Cove",115.646653846154,14.7423076923077,17,"sydney"
"133",2020-09-01,"Leichhardt",151.924310998736,19.7193426042984,59,"sydney"
"134",2020-09-01,"Liverpool",110.081481481481,13.5851851851852,22,"sydney"
"135",2020-09-01,"Manly",172.193859011628,13.6293604651163,120,"sydney"
"136",2020-09-01,"Marrickville",104.19771040724,14.9266968325792,74,"sydney"
"137",2020-09-01,"Mosman",169.223426183844,16.8412256267409,21,"sydney"
"138",2020-09-01,"North Sydney",140.610983193277,15.290756302521,112,"sydney"
"139",2020-09-01,"Parramatta",97.5293032015066,12.7796610169492,57,"sydney"
"140",2020-09-01,"Penrith",115.504551282051,24.525641025641,61,"sydney"
"141",2020-09-01,"Pittwater",203.019968895801,32.1632970451011,401,"sydney"
"142",2020-09-01,"Randwick",126.050990647731,9.21163837894008,144,"sydney"
"143",2020-09-01,"Rockdale",94.8366513233602,13.7963176064442,69,"sydney"
"144",2020-09-01,"Ryde",93.888234295416,10.7894736842105,100,"sydney"
"145",2020-09-01,"Strathfield",89.6693298969072,10.9639175257732,33,"sydney"
"146",2020-09-01,"Sutherland Shire",142.544053452116,27.271714922049,133,"sydney"
"147",2020-09-01,"Sydney",131.602284979172,21.117128154864,784,"sydney"
"148",2020-09-01,"The Hills Shire",101.71142384106,16.8079470198675,62,"sydney"
"149",2020-09-01,"Warringah",157.182463976945,10.5374639769452,104,"sydney"
"150",2020-09-01,"Waverley",148.998351262862,11.2570159027128,231,"sydney"
"151",2020-09-01,"Willoughby",122.460936819172,12.0980392156863,41,"sydney"
"152",2020-09-01,"Woollahra",151.395795454545,12.1469155844156,64,"sydney"
"153",2020-10-01,"Ashfield",100.280649819495,9.31768953068592,26,"sydney"
"154",2020-10-01,"Auburn",103.586185286104,19.7275204359673,87,"sydney"
"155",2020-10-01,"Bankstown",89.5559073359073,11.0849420849421,52,"sydney"
"156",2020-10-01,"Blacktown",74.6302573529412,10.8566176470588,58,"sydney"
"157",2020-10-01,"Botany Bay",96.2276058631922,13.9169381107492,54,"sydney"
"158",2020-10-01,"Burwood",85.5272519083969,8.43893129770992,42,"sydney"
"159",2020-10-01,"Camden",108.414807692308,15.8269230769231,30,"sydney"
"160",2020-10-01,"Campbelltown",104.785744680851,15.5531914893617,27,"sydney"
"161",2020-10-01,"Canada Bay",121.147229551451,10.4379947229551,39,"sydney"
"162",2020-10-01,"Canterbury",87.6959077809798,9.9164265129683,28,"sydney"
"163",2020-10-01,"City Of Kogarah",93.1668691588785,14.5327102803738,40,"sydney"
"164",2020-10-01,"Fairfield",79.9449397590361,21.421686746988,37,"sydney"
