"","months","neighbourhood_cleansed","price"
"211",2020-06-01,"COOROW",182.473684210526
"212",2020-10-01,"COOROW",187.842105263158
"213",2020-11-01,"COOROW",191.578947368421
"214",2020-12-01,"COOROW",206.210526315789
"215",2021-01-01,"COOROW",197.842105263158
"216",2021-02-01,"COOROW",194.315789473684
"217",2021-03-01,"COOROW",187.588235294118
"218",2021-04-01,"COOROW",180
"219",2020-05-01,"CORRIGIN",130.5
"220",2020-06-01,"CORRIGIN",150
"221",2020-10-01,"CORRIGIN",40
"222",2020-11-01,"CORRIGIN",50
"223",2020-12-01,"CORRIGIN",50
"224",2021-01-01,"CORRIGIN",50
"225",2021-02-01,"CORRIGIN",50
"226",2021-03-01,"CORRIGIN",50
"227",2020-05-01,"COTTESLOE",176.88198757764
"228",2020-06-01,"COTTESLOE",179.233333333333
"229",2020-10-01,"COTTESLOE",187.515151515152
"230",2020-11-01,"COTTESLOE",191.126213592233
"231",2020-12-01,"COTTESLOE",216.39175257732
"232",2021-01-01,"COTTESLOE",206.901960784314
"233",2021-02-01,"COTTESLOE",204.971962616822
"234",2021-03-01,"COTTESLOE",207.701030927835
"235",2021-04-01,"COTTESLOE",148.285714285714
"236",2020-05-01,"CRANBROOK",148.666666666667
"237",2020-06-01,"CRANBROOK",102
"238",2020-10-01,"CRANBROOK",140.5
"239",2020-11-01,"CRANBROOK",138
"240",2020-12-01,"CRANBROOK",130
"241",2021-01-01,"CRANBROOK",138
"242",2021-02-01,"CRANBROOK",140.5
"243",2021-03-01,"CRANBROOK",97
"244",2021-04-01,"CRANBROOK",175
"245",2020-05-01,"CUBALLING",154.6
"246",2020-06-01,"CUBALLING",154
"247",2020-10-01,"CUBALLING",154
"248",2020-11-01,"CUBALLING",154
"249",2020-12-01,"CUBALLING",154
"250",2021-01-01,"CUBALLING",174
"251",2021-02-01,"CUBALLING",174
"252",2021-03-01,"CUBALLING",174
"253",2020-05-01,"CUE",56.7142857142857
"254",2020-06-01,"CUE",55.7142857142857
"255",2020-10-01,"CUE",60.4166666666667
"256",2020-11-01,"CUE",60.4166666666667
"257",2020-12-01,"CUE",57.6923076923077
"258",2021-01-01,"CUE",57.6923076923077
"259",2021-02-01,"CUE",63.4615384615385
"260",2021-03-01,"CUE",63.4615384615385
"261",2020-05-01,"CUNDERDIN",93
"262",2020-06-01,"CUNDERDIN",93.3333333333333
"263",2020-05-01,"DANDARAGAN",175.540540540541
"264",2020-06-01,"DANDARAGAN",176.178571428571
"265",2020-10-01,"DANDARAGAN",174.18487394958
"266",2020-11-01,"DANDARAGAN",176.00826446281
"267",2020-12-01,"DANDARAGAN",194.769841269841
"268",2021-01-01,"DANDARAGAN",186.380165289256
"269",2021-02-01,"DANDARAGAN",178.154471544715
"270",2021-03-01,"DANDARAGAN",173.434782608696
"271",2021-04-01,"DANDARAGAN",188.666666666667
"272",2020-05-01,"DARDANUP",173.1875
"273",2020-06-01,"DARDANUP",172.9375
"274",2020-10-01,"DARDANUP",205.75
"275",2020-11-01,"DARDANUP",212
"276",2020-12-01,"DARDANUP",200.4
"277",2021-01-01,"DARDANUP",206.818181818182
"278",2021-02-01,"DARDANUP",207.909090909091
"279",2021-03-01,"DARDANUP",208.916666666667
"280",2020-05-01,"DENMARK",190.18085106383
"281",2020-06-01,"DENMARK",191.489247311828
"282",2020-10-01,"DENMARK",200.308571428571
"283",2020-11-01,"DENMARK",203.155172413793
"284",2020-12-01,"DENMARK",218.692737430168
"285",2021-01-01,"DENMARK",218.277777777778
"286",2021-02-01,"DENMARK",210.781420765027
"287",2021-03-01,"DENMARK",209.296703296703
"288",2021-04-01,"DENMARK",190.714285714286
"289",2020-05-01,"DERBY-WEST KIMBERLEY",150
"290",2020-06-01,"DERBY-WEST KIMBERLEY",149
"291",2020-05-01,"DONNYBROOK-BALINGUP",164.970588235294
"292",2020-06-01,"DONNYBROOK-BALINGUP",163.157142857143
"293",2020-10-01,"DONNYBROOK-BALINGUP",181.931034482759
"294",2020-11-01,"DONNYBROOK-BALINGUP",182.241379310345
"295",2020-12-01,"DONNYBROOK-BALINGUP",181.85
"296",2021-01-01,"DONNYBROOK-BALINGUP",183.64406779661
"297",2021-02-01,"DONNYBROOK-BALINGUP",180.967213114754
"298",2021-03-01,"DONNYBROOK-BALINGUP",181.816666666667
"299",2021-04-01,"DONNYBROOK-BALINGUP",129
"300",2020-05-01,"DOWERIN",50
"301",2020-06-01,"DOWERIN",50
"302",2020-05-01,"DUMBLEYUNG",94.6428571428571
"303",2020-06-01,"DUMBLEYUNG",93.8571428571429
"304",2020-10-01,"DUMBLEYUNG",83.8461538461538
"305",2020-11-01,"DUMBLEYUNG",83.8461538461538
"306",2020-12-01,"DUMBLEYUNG",83.8461538461538
"307",2021-01-01,"DUMBLEYUNG",83.8461538461538
"308",2021-02-01,"DUMBLEYUNG",83.8461538461538
"309",2021-03-01,"DUMBLEYUNG",83.8461538461538
"310",2020-05-01,"DUNDAS",160
"311",2020-06-01,"DUNDAS",160
"312",2020-12-01,"DUNDAS",160
"313",2021-01-01,"DUNDAS",160
"314",2021-02-01,"DUNDAS",160
"315",2021-03-01,"DUNDAS",160
"316",2020-05-01,"EAST FREMANTLE",128.911392405063
"317",2020-06-01,"EAST FREMANTLE",131.220779220779
"318",2020-10-01,"EAST FREMANTLE",131.777777777778
"319",2020-11-01,"EAST FREMANTLE",133
"320",2020-12-01,"EAST FREMANTLE",151.057692307692
"321",2021-01-01,"EAST FREMANTLE",142.673076923077
"322",2021-02-01,"EAST FREMANTLE",142.333333333333
"323",2021-03-01,"EAST FREMANTLE",145.431818181818
"324",2021-04-01,"EAST FREMANTLE",102.5
