"","months","neighbourhood_cleansed","price","number_of_reviews","review_count_change","city"
"122",2020-09-01,"Circular Head",164.295238095238,27.0095238095238,43,"Tasmania"
"123",2020-09-01,"Clarence",148.263129251701,56.3503401360544,104,"Tasmania"
"124",2020-09-01,"Derwent Valley",144.949367088608,42.6582278481013,26,"Tasmania"
"125",2020-09-01,"Devonport",139.695913978495,64.3655913978495,35,"Tasmania"
"126",2020-09-01,"Dorset",175.331136363636,40.9242424242424,104,"Tasmania"
"127",2020-09-01,"Flinders",186.125,8.46875,5,"Tasmania"
"128",2020-09-01,"George Town",173.942857142857,25.3142857142857,16,"Tasmania"
"129",2020-09-01,"Glamorgan/Spring Bay",186.243856041131,67.025706940874,245,"Tasmania"
"130",2020-09-01,"Glenorchy",107.972434782609,59.3652173913043,35,"Tasmania"
"131",2020-09-01,"Hobart",148.301831983806,80.4402834008097,236,"Tasmania"
"132",2020-09-01,"Huon Valley",163.418874172185,40.158940397351,82,"Tasmania"
"133",2020-09-01,"Kentish",142.725037593985,53.3308270676692,68,"Tasmania"
"134",2020-09-01,"King Island",202,24.8666666666667,0,"Tasmania"
"135",2020-09-01,"Kingborough",162.987257525084,56.438127090301,207,"Tasmania"
"136",2020-09-01,"Latrobe",154.316909090909,26.6181818181818,19,"Tasmania"
"137",2020-09-01,"Launceston",133.698298368298,77.0769230769231,210,"Tasmania"
"138",2020-09-01,"Meander Valley",151.659574468085,44.1063829787234,35,"Tasmania"
"139",2020-09-01,"Northern Midlands",150.653095238095,54.1666666666667,29,"Tasmania"
"140",2020-09-01,"Sorell",144.101808510638,47.2127659574468,41,"Tasmania"
"141",2020-09-01,"Southern Midlands",137.3,48.85,8,"Tasmania"
"142",2020-09-01,"Tasman",153.622348484848,74.6212121212121,95,"Tasmania"
"143",2020-09-01,"Waratah/Wynyard",145.076923076923,38.8351648351648,46,"Tasmania"
"144",2020-09-01,"West Coast",151.701092436975,56.7058823529412,61,"Tasmania"
"145",2020-09-01,"West Tamar",147.915955882353,53.0367647058824,68,"Tasmania"
"146",2020-10-01,"Break O'Day",178.364532871972,50.6851211072664,355,"Tasmania"
"147",2020-10-01,"Brighton",109.533333333333,50.8666666666667,7,"Tasmania"
"148",2020-10-01,"Burnie",116.384615384615,37.9384615384615,31,"Tasmania"
"149",2020-10-01,"Central Coast",136.3155,47.675,107,"Tasmania"
"150",2020-10-01,"Central Highlands",178.088888888889,34.9555555555556,26,"Tasmania"
"151",2020-10-01,"Circular Head",164.932038834951,28.3980582524272,110,"Tasmania"
"152",2020-10-01,"Clarence",149.641608391608,57.3181818181818,150,"Tasmania"
"153",2020-10-01,"Derwent Valley",147.688311688312,43.961038961039,51,"Tasmania"
"154",2020-10-01,"Devonport",143.089139784946,63.1720430107527,64,"Tasmania"
"155",2020-10-01,"Dorset",178.899776119403,41.4029850746269,211,"Tasmania"
"156",2020-10-01,"Flinders",189.967741935484,9.45161290322581,23,"Tasmania"
"157",2020-10-01,"George Town",172.367428571429,26.3714285714286,37,"Tasmania"
"158",2020-10-01,"Glamorgan/Spring Bay",194.800756756757,70.0243243243243,422,"Tasmania"
"159",2020-10-01,"Glenorchy",109.586936936937,58.8468468468468,44,"Tasmania"
"160",2020-10-01,"Hobart",151.639592252803,79.8797145769623,376,"Tasmania"
"161",2020-10-01,"Huon Valley",165.052857142857,40.5,160,"Tasmania"
"162",2020-10-01,"Kentish",140.844045801527,54.0763358778626,82,"Tasmania"
"163",2020-10-01,"King Island",203.714285714286,26.7857142857143,3,"Tasmania"
"164",2020-10-01,"Kingborough",166.496233333333,56.8833333333333,333,"Tasmania"
"165",2020-10-01,"Latrobe",155.4975,27,46,"Tasmania"
