"","months","neighbourhood_cleansed","price","city","state"
"113",2020-08-01,"Tasman",151.016888888889,"Tasmania","Tasmania"
"114",2020-08-01,"Waratah/Wynyard",141.346304347826,"Tasmania","Tasmania"
"115",2020-08-01,"West Coast",148.359649122807,"Tasmania","Tasmania"
"116",2020-08-01,"West Tamar",147.814814814815,"Tasmania","Tasmania"
"117",2020-09-01,"Break O'Day",174.771506849315,"Tasmania","Tasmania"
"118",2020-09-01,"Brighton",114.466666666667,"Tasmania","Tasmania"
"119",2020-09-01,"Burnie",114.861538461538,"Tasmania","Tasmania"
"120",2020-09-01,"Central Coast",134.330578512397,"Tasmania","Tasmania"
"121",2020-09-01,"Central Highlands",174.265813953488,"Tasmania","Tasmania"
"122",2020-09-01,"Circular Head",164.295238095238,"Tasmania","Tasmania"
"123",2020-09-01,"Clarence",148.263129251701,"Tasmania","Tasmania"
"124",2020-09-01,"Derwent Valley",144.949367088608,"Tasmania","Tasmania"
"125",2020-09-01,"Devonport",139.695913978495,"Tasmania","Tasmania"
"126",2020-09-01,"Dorset",175.331136363636,"Tasmania","Tasmania"
"127",2020-09-01,"Flinders",186.125,"Tasmania","Tasmania"
"128",2020-09-01,"George Town",173.942857142857,"Tasmania","Tasmania"
"129",2020-09-01,"Glamorgan/Spring Bay",186.243856041131,"Tasmania","Tasmania"
"130",2020-09-01,"Glenorchy",107.972434782609,"Tasmania","Tasmania"
"131",2020-09-01,"Hobart",148.301831983806,"Tasmania","Tasmania"
"132",2020-09-01,"Huon Valley",163.418874172185,"Tasmania","Tasmania"
"133",2020-09-01,"Kentish",142.725037593985,"Tasmania","Tasmania"
"134",2020-09-01,"King Island",202,"Tasmania","Tasmania"
"135",2020-09-01,"Kingborough",162.987257525084,"Tasmania","Tasmania"
"136",2020-09-01,"Latrobe",154.316909090909,"Tasmania","Tasmania"
"137",2020-09-01,"Launceston",133.698298368298,"Tasmania","Tasmania"
"138",2020-09-01,"Meander Valley",151.659574468085,"Tasmania","Tasmania"
"139",2020-09-01,"Northern Midlands",150.653095238095,"Tasmania","Tasmania"
"140",2020-09-01,"Sorell",144.101808510638,"Tasmania","Tasmania"
"141",2020-09-01,"Southern Midlands",137.3,"Tasmania","Tasmania"
"142",2020-09-01,"Tasman",153.622348484848,"Tasmania","Tasmania"
"143",2020-09-01,"Waratah/Wynyard",145.076923076923,"Tasmania","Tasmania"
"144",2020-09-01,"West Coast",151.701092436975,"Tasmania","Tasmania"
"145",2020-09-01,"West Tamar",147.915955882353,"Tasmania","Tasmania"
"146",2020-10-01,"Break O'Day",178.364532871972,"Tasmania","Tasmania"
"147",2020-10-01,"Brighton",109.533333333333,"Tasmania","Tasmania"
"148",2020-10-01,"Burnie",116.384615384615,"Tasmania","Tasmania"
"149",2020-10-01,"Central Coast",136.3155,"Tasmania","Tasmania"
"150",2020-10-01,"Central Highlands",178.088888888889,"Tasmania","Tasmania"
"151",2020-10-01,"Circular Head",164.932038834951,"Tasmania","Tasmania"
"152",2020-10-01,"Clarence",149.641608391608,"Tasmania","Tasmania"
"153",2020-10-01,"Derwent Valley",147.688311688312,"Tasmania","Tasmania"
"154",2020-10-01,"Devonport",143.089139784946,"Tasmania","Tasmania"
"155",2020-10-01,"Dorset",178.899776119403,"Tasmania","Tasmania"
"156",2020-10-01,"Flinders",189.967741935484,"Tasmania","Tasmania"
"157",2020-10-01,"George Town",172.367428571429,"Tasmania","Tasmania"
"158",2020-10-01,"Glamorgan/Spring Bay",194.800756756757,"Tasmania","Tasmania"
"159",2020-10-01,"Glenorchy",109.586936936937,"Tasmania","Tasmania"
"160",2020-10-01,"Hobart",151.639592252803,"Tasmania","Tasmania"
"161",2020-10-01,"Huon Valley",165.052857142857,"Tasmania","Tasmania"
